ORRY NODE:CRYPTO FIX SUMMARY
RepoRoot: D:\01 Main Work\Boots\Agentic AI\mission-control\orry
BackupDir: D:\01 Main Work\Boots\Agentic AI\mission-control\orry\tools\backup_orry_node_crypto_fix_25690329_013159
LogFile: D:\01 Main Work\Boots\Agentic AI\mission-control\orry\tools\logs\orry-node-crypto-fix_25690329_013159.log

Validate paths and create folders | exit=0 | OK
Collect TypeScript files | exit=0 | OK
Scan for node:crypto usages | exit=0 | OK
Backup candidate files | exit=1 | FAIL
Replace node:crypto with crypto | exit=0 | OK
Force security.ts to be server-only | exit=0 | OK
Find routes importing auth/security | exit=0 | OK
Set runtime=nodejs on affected routes | exit=0 | OK
Verify no node:crypto remains in source | exit=0 | OK
Prisma generate | exit=1 | FAIL
Next build | exit=1 | FAIL
